di	0.03452954941655018
e	0.021340285521335572
la	0.020457650809605328
il	0.01963469602500275
in	0.013735806385752202
del	0.011913998083960235
a	0.011574764813971385
che	0.010808348907700282
è	0.010506808223265749
l	0.010029368806244405
un	0.008914296483595872
della	0.00875724404378622
per	0.0076421717211376874
le	0.007299797402352645
i	0.00710819342578487
una	0.006420303739418592
si	0.005939723273601055
da	0.005908312785639125
con	0.005638182589166523
modifica	0.005543951125280731
nel	0.005465424905375905
dell	0.00540888602704443
più	0.004758688926232469
al	0.004428878802632199
delle	0.004309518948376863
sono	0.0041524665085672105
non	0.004042529800700454
dei	0.0038634900193174502
o	0.0037347070186735352
come	0.003665603945157288
nella	0.0029243164292557283
dal	0.0028866238437014117
anche	0.002748417696668918
alla	0.0026730325255602846
ad	0.0025473905737125628
gli	0.002515980085750632
ed	0.0024971337929734737
the	0.002446877012234385
of	0.0022144394013160996
all	0.002117066888634115
tra	0.002047963815117868
ha	0.0020196943759521304
d	0.002000848083174972
amp	0.0019380271072511111
città	0.0018971934729006014
dalla	0.0018280903993843545
cui	0.001806103057811003
lo	0.0017652694234604935
ma	0.0016584737643899298
parte	0.0016427685204089646
altri	0.0016302043252241923
c	0.0016144990812432271
vector	0.0015862296420774897
questo	0.0015359728613384008
stato	0.0015359728613384008
essere	0.0015359728613384008
degli	0.0014982802757840842
su	0.0014700108366183468
nell	0.001419754055879258
anni	0.0014009077631020998
fu	0.0013726383239363624
due	0.001350650982363011
era	0.0013380867871782389
sua	0.0013380867871782389
questa	0.0013129583968086943
m	0.0013066762992163083
en	0.0012627016160696057
and	0.0012595605672734126
vedi	0.0012344321769038682
se	0.0011747522497762002
storia	0.0011716112009800073
stati	0.0011621880545914281
dopo	0.0011433417618142698
nome	0.0011433417618142698
url	0.0011276365178333045
consultato	0.0011213544202409184
sia	0.0011213544202409184
suo	0.0011182133714447253
dall	0.0011119312738523393
prima	0.0011119312738523393
loro	0.001093084981075181
ai	0.001086802883482795
gesù	0.0010836618346866018
secondo	0.0010428282003360923
sole	0.0010428282003360923
può	0.001027122956355127
alle	9.737251268198451E-4
s	9.705840780236521E-4
sulla	9.517377852464938E-4
voce	9.485967364503007E-4
hanno	9.297504436731424E-4
nei	9.266093948769494E-4
solo	9.203272972845634E-4
circa	9.014810045074051E-4
europa	8.951989069150189E-4
nelle	8.920578581188259E-4
stella	8.920578581188259E-4
viene	8.637884189530885E-4
dello	8.606473701568953E-4
